Title,Location,Price,Area
                        Apartment Hoofdweg                            ,            1058 BC Amsterdam (Westindische Buurt)        ,"                €3,000 per month            ",155 m²
                        Apartment Grote Bickersstraat 23 H                            ,            1013 KN Amsterdam (Haarlemmerbuurt)        ,"                €2,000 per month            ",62 m²
                        Apartment Oostenburgerpark                            ,            1018 HT Amsterdam (Oostelijke Eilanden/Kadijken)        ,"                €1,500 per month            ",47 m²
                        Apartment Haarlemmerweg 49 2                            ,            1051 KP Amsterdam (Staatsliedenbuurt)        ,"                €1,800 per month            ",54 m²
                        House Keizersgracht                            ,            1016 DR Amsterdam (Grachtengordel-West)        ,"                €1,750 per month            ",65 m²
                        House Laplacestraat                            ,            1098 HX Amsterdam (Middenmeer)        ,"                €3,250 per month            ",125 m²
                        Apartment Van der Hoopstraat 110 1                            ,            1051 VM Amsterdam (Staatsliedenbuurt)        ,"                €1,600 per month            ",47 m²
                        Apartment Pieter Baststraat                            ,            1071 TX Amsterdam (Museumkwartier)        ,"                €1,400 per month            ",36 m²
                        Apartment Eerste Atjehstraat 99 2                            ,            1094 KE Amsterdam (Indische Buurt West)        ,"                €1,475 per month            ",42 m²
                        Apartment Haarlemmermeerstraat                            ,            1058 KA Amsterdam (Hoofddorppleinbuurt)        ,"                €2,150 per month            ",70 m²
                        Apartment Jacob van Lennepkade                            ,            1054 ZN Amsterdam (Overtoomse Sluis)        ,"                €1,850 per month            ",47 m²
                        Apartment Leksmondhof                            ,            1108 ER Amsterdam (Nellestein)        ,"                €1,795 per month            ",77 m²
                        Apartment Grootzeilhof                            ,            1034 MC Amsterdam (Banne Buiksloot)        ,"                €2,200 per month            ",80 m²
                        Apartment Albert Cuypstraat 49 1                            ,            1072 CL Amsterdam (Oude Pijp)        ,"                €2,650 per month            ",95 m²
                        Apartment Eerste Looiersdwarsstraat                            ,            1016 VL Amsterdam (Jordaan)        ,"                €2,500 per month            ",65 m²
                        House Edammerstraat 54                            ,            1023 VC Amsterdam (Tuindorp Nieuwendam)        ,"                €1,700 per month            ",64 m²
                        Apartment Eerste Jan van der Heijdenstraat 116 H                            ,            1072 VB Amsterdam (Oude Pijp)        ,"                €4,500 per month            ",83 m²
                        Apartment Nicolaas Maesstraat 65 II                            ,            1071 PR Amsterdam (Museumkwartier)        ,"                €2,250 per month            ",62 m²
                        Apartment Zuid-Hollandstraat 88 2                            ,            1082 EL Amsterdam (Buitenveldert-West)        ,"                €1,900 per month            ",70 m²
                        Apartment Reyer Anslostraat 24 1                            ,            1054 KV Amsterdam (Overtoomse Sluis)        ,"                €2,000 per month            ",55 m²
                        Apartment Sanderijnstraat                            ,            1055 BM Amsterdam (Erasmuspark)        ,"                €1,895 per month            ",65 m²
                        Apartment Banstraat 25 B*                            ,            1071 JW Amsterdam (Museumkwartier)        ,"                €11,000 per month            ",194 m²
                        Apartment Balistraat 48 II                            ,            1094 JN Amsterdam (Indische Buurt West)        ,"                €1,750 per month            ",50 m²
                        Apartment Van Baerlestraat                            ,            1071 BB Amsterdam (Museumkwartier)        ,"                €2,350 per month            ",55 m²
                        Apartment Geuzenstraat                            ,            1056 JZ Amsterdam (Geuzenbuurt)        ,"                €1,775 per month            ",65 m²
                        Studio Westerstraat                            ,            1015 ML Amsterdam (Jordaan)        ,"                €1,350 per month            ",30 m²
                        Apartment Victorieplein                            ,            1079 KM Amsterdam (Scheldebuurt)        ,"                €3,250 per month            ",110 m²
                        Studio Westerstraat                            ,            1015 ML Amsterdam (Jordaan)        ,"                €1,350 per month            ",30 m²
                        Apartment Zuid-Hollandstraat 62 2                            ,            1082 EL Amsterdam (Buitenveldert-West)        ,"                €1,950 per month            ",75 m²
                        Apartment Hemonylaan                            ,            1074 BE Amsterdam (Oude Pijp)        ,"                €2,075 per month            ",58 m²
                        Apartment Driehoekstraat 36                            ,            1015 GL Amsterdam (Jordaan)        ,"                €1,850 per month            ",50 m²
                        Apartment Van Woustraat 68 2                            ,            1073 LN Amsterdam (Oude Pijp)        ,"                €2,450 per month            ",59 m²
