city,State,zipcode,lon,lat,addresses,price,neighbourhood
Portland,Oregon,97236,-122.529736,45.50408747,13007 SE Division St,499950,HAZELWOOD
Portland,Oregon,97233,-122.5299347,45.50516446,2336 SE 130th Ave,180000,HAZELWOOD
Portland,Oregon,97233,-122.5209525,45.50608299,"2246 SE 139th Ave,",419900,HAZELWOOD
Portland,Oregon,97216,-122.5602166,45.50666474,"10020 SE Grant St,",499999,HAZELWOOD
Portland,Oregon,97216,-122.5567149,45.50718584,"2140 SE 104th Dr, ",615000,HAZELWOOD
Portland,Oregon,97233,-122.519874,45.50784252,"13946 SE Lincoln St, ",498000,HAZELWOOD
Portland,Oregon,97233,-122.5210088,45.50843235,"2025 SE 139th Ave,",495000,HAZELWOOD
Portland,Oregon,97233,-122.5247482,45.5090607,"1920 SE 135th Ave, ",396000,HAZELWOOD
Portland,Oregon,97216,-122.5575872,45.51117609,"10234 SE Market Dr, ",525000,HAZELWOOD
Portland,Oregon,97216,-122.5514634,45.51218145,"10920 SE Clay St, ",599900,HAZELWOOD
Portland,Oregon,97216,-122.552535,45.51223246,"10808 SE Clay St, ",599000,HAZELWOOD
Portland,Oregon,97233,-122.5248375,45.51268399,"1431 SE 135th Ave, ",399900,HAZELWOOD
Portland,Oregon,97233,-122.5183691,45.51365897,"1307 SE 141st Ave, ",424900,HAZELWOOD
Portland,Oregon,97233,-122.531066,45.51909745,"12851 SE Stark St, ",185000,HAZELWOOD
Portland,Oregon,97233,-122.5150161,45.52007788,"363 SE 146th Ave, ",250000,HAZELWOOD
Portland,Oregon,97216,-122.5390234,45.52036529,"12062 SE Pine St, ",249900,HAZELWOOD
Portland,Oregon,97216,-122.5390234,45.52036529,"12060 SE Pine St,",254900,HAZELWOOD
Portland,Oregon,97216,-122.5390234,45.52036529,"12064 SE Pine St, ",259900,HAZELWOOD
Portland,Oregon,97216,-122.559181,45.52042749,"10121 SE Pine St, ",424900,HAZELWOOD
Portland,Oregon,97233,-122.5235934,45.52059328,"239 SE 136th Ave, ",575000,HAZELWOOD
Portland,Oregon,97216,-122.541314,45.52109754,"11821 SE Ash St, ",450000,HAZELWOOD
Portland,Oregon,97216,-122.539977,45.52110407,"11919 SE Ash St, ",276000,HAZELWOOD
Portland,Oregon,97233,-122.5183722,45.52123005,"136 SE 141st Ave, ",350000,HAZELWOOD
Portland,Oregon,97216,-122.5539094,45.5212754,"127 SE 106th Ave, ",550000,HAZELWOOD
Portland,Oregon,97233,-122.5158275,45.52164001,"105 SE 143rd Ave, ",399900,HAZELWOOD
Portland,Oregon,97216,-122.5554731,45.52210588,"14 SE 105th Ave, ",315000,HAZELWOOD
Portland,Oregon,97233,-122.5316265,45.52235168,"12804 E Burnside St, ",392000,HAZELWOOD
Portland,Oregon,97216,-122.551502,45.52266747,"10827 E Burnside St,",372000,HAZELWOOD
Portland,Oregon,97216,-122.561859,45.52274747,"9923 E Burnside St, ",620000,HAZELWOOD
Portland,Oregon,97230,-122.5346586,45.52356014,"101 NE 125th Ave, ",420000,HAZELWOOD
Portland,Oregon,97230,-122.522285,45.52397249,"13702 NE Couch St, ",459900,HAZELWOOD
Portland,Oregon,97230,-122.521803,45.52402751,"13727 NE Couch St, ",479000,HAZELWOOD
Portland,Oregon,97220,-122.5573816,45.52410429,"205 NE 103rd Ave, ",475000,HAZELWOOD
Portland,Oregon,97220,-122.5450785,45.52464953,"325 NE 114th Ave, ",499000,HAZELWOOD
Portland,Oregon,97220,-122.549989,45.5247075,"10931 NE Everett St, ",499900,HAZELWOOD
Portland,Oregon,97230,-122.522846,45.5247225,"13618 NE Davis Ct, ",449900,HAZELWOOD
Portland,Oregon,97230,-122.5157952,45.5247432,"243 NE 143rd Ave, ",449900,HAZELWOOD
Portland,Oregon,97220,-122.554033,45.52476495,"255 NE 106th Ave, ",499000,HAZELWOOD
Portland,Oregon,97220,-122.549602,45.52624298,"11020 NE Glisan St, ",395000,HAZELWOOD
Portland,Oregon,97220,-122.5411881,45.52631141,"11781 NE Glisan St, ",650000,HAZELWOOD
Portland,Oregon,97230,-122.5345062,45.52705346,"540 NE 125th Ave, ",399900,HAZELWOOD
Portland,Oregon,97220,-122.5465825,45.527326,"620 NE 113th Ave, ",420000,HAZELWOOD
Portland,Oregon,97220,-122.551182,45.5281175,"10831 NE Oregon St, ",589900,HAZELWOOD
Portland,Oregon,97220,-122.5494508,45.52835681,"815 NE 110th Ave, ",455000,HAZELWOOD
Portland,Oregon,97220,-122.5446641,45.5293079,"911 NE 114th Ave, ",487500,HAZELWOOD
Portland,Oregon,97230,-122.5321293,45.52997313,"12722 NE Holladay St, ",449500,HAZELWOOD
Portland,Oregon,97230,-122.5329872,45.53062265,"12640 NE Hassalo St, ",399900,HAZELWOOD
Portland,Oregon,97220,-122.5414218,45.53086472,"1118 NE 118th Ave, ",399000,HAZELWOOD
Portland,Oregon,97220,-122.5390647,45.53093584,"1119 NE 120th Ave, ",492000,HAZELWOOD
Portland,Oregon,97230,-122.5230255,45.53179779,"1221 NE 136th Ave, Portland, ",629000,HAZELWOOD
Portland,Oregon,97220,-122.5432347,45.53261938,"11615 NE Clackamas St, ",499999,HAZELWOOD
