index,cardinal,street,streetb,city,zipcode,lon,lat,addresses,price,neighbourhood
2627,NW,Sussex,Ave,Portland,97210,-122.7205457,45.54157314,"2627 NW Sussex Ave, Portland, OR 97210",499900,NORTHWEST DISTRICT
2641,NW,Sussex,Ave,Portland,97210,-122.7206195,45.54160022,"2641 NW Sussex Ave, Portland, OR 97210",529900,NORTHWEST DISTRICT
2125,NW,33rd,Ave,Portland,97210,-122.7160725,45.53777614,"2125 NW 33rd Ave, Portland, OR 97210",650000,NORTHWEST DISTRICT
1718,NW,Riverscape,St,Portland,97209,-122.6885982,45.53856802,"1718 NW Riverscape St, Portland, OR 97209",660000,NORTHWEST DISTRICT
1223,NW,19th,Ave,Portland,97209,-122.6905874,45.53168501,"1223 NW 19th Ave, Portland, OR 97209",875000,NORTHWEST DISTRICT
2117,NW,23rd,Ave,Portland,97210,-122.6989292,45.53789977,"2117 NW 23rd Ave, Portland, OR 97210",899000,NORTHWEST DISTRICT
2391,NW,Irving,St,Portland,97210,-122.7003696,45.52767217,"2391 NW Irving St, Portland, OR 97210",1190000,NORTHWEST DISTRICT
2069,NW,Overton,St,Portland,97209,-122.6940619,45.53205109,"2069 NW Overton St, Portland, OR 97209",1295000,NORTHWEST DISTRICT
2409,NW,Marshall,St,Portland,97210,-122.7009838,45.53048937,"2409 NW Marshall St, Portland, OR 97210",1300000,NORTHWEST DISTRICT
2334,NW,Northrup,St,Portland,97210,-122.6994787,45.53116458,"2334 NW Northrup St, Portland, OR 97210",1300000,NORTHWEST DISTRICT
2470,NW,Westover,Rd,Portland,97210,-122.7018795,45.52753832,"2470 NW Westover Rd, Portland, OR 97210",1500000,NORTHWEST DISTRICT
2423,NW,Northrup,St,Portland,97210,-122.7013079,45.53118662,"2423 NW Northrup St, Portland, OR 97210",1839000,NORTHWEST DISTRICT
1712,NW,Riverscape,St,Portland,97209,-122.6883082,45.53843798,"1712 NW Riverscape St, Portland, OR 97209",2595000,NORTHWEST DISTRICT
